doc_id,text
1,grapefruit juice citrus slow enzyme activity process drug
2,saturday support gemana connally
3,plan view economic development tool health care cost cripple businesses competitiveness jonathan ater portland lawyer vice chairman oregon health fund board
4,yankee shortstop alex rodriguez mariano rivera's season knee injury
5,saturn assembly plant spring hill tenn reopen deal people product promise plant romulus mich warren mich wentzville mo plant janesville wis stop produce truck remain idle close
6,story backer hail report legislator vote proposal irresponsible
7,agent vilma issue statement shock extremely disappoint punishment deny bounty ringleader
8,miller feel middle school ready play school freshman
9,save day alas stand idly timber event security round cousin shock happen convince brother scarf cheap doctor bill bid adieu sounders fan attempt vacate surround bus peacefully fan decide throw water water bottle sporadic timber fan walk throw object reason soccer prosper unite
10,ronald wayne looney tatter wallet
11,competition cruze's compact segment fierce december ford's focus month sell volkswagen's jetta outsell sell toyota's corolla honda's civic typically market leader segment company plan report sale late wednesday
12,clean classy check craft store stencil
13,john child basement realize awful jody upstairs crib
14,cup chop fresh cilantro
15,call associate cook's close german restaurant half block neighbor business finca property figure location lot cook associate plan build condo tower call vineyard
16,ha electrical engineer student southern vietnam woman program outnumber student program vietnam woman
17,time ally roughly half giant baby boomer generation extreme worker support retiree ratio rise
18,beleaguer medical doctor agree permanently surrender medical license physician license suspend
19,world war ii army lieutenant hollinger win bronze star ravage company lead heavy fire seize enemy position
20,table break column represent lunar month column top moon god jaguar skull woman repeat consult table priest moon god preside date
21,window prepare sandoval afraid death survive
22,ovi ken mar drive stop reckless drive suspicion influence alcohol soil pant attempt complete field sobriety test saturday
23,grant imagine rep paul ryan wis sit guest host morning tv sip coffee cup banter guest book publish fitness regimen promote jersey gov chris christie gov haley barbour mississippi jeb bush florida secretary hillary clinton role mention future presidential candidate host daytime talk fit resume
24,hundred mile south virginia coast guard petty officer rafferty frantically survival calculation air temperature offshore degree water temperature degree feed information cold exposure survival model spit comfort base approximate time sink height weight average wear protection cold rafferty fisherman hour functional time ability move survival time hour
25,drill medina happen nearby security guard announce evacuate due bomb threat
26,graham indefinite suspension junior onyeali prove talk asu's football team infusion discipline sorely
27,sean's critique surprise anthea butler religion professor university pennsylvania american basic history belief faith major religious tradition butler
28,edwards drive light blue ford van florida license plate bp
29,detroit free press reporter zlati meyer republican fight party dominance episode survivor michigan
30,slap shot johnstown nationally recognize bouchard associate press play heritage movie stuff
31,pennsville ambulance respond assist remain service minute
32,highlight endless lobster primo huge claw spill plate serve draw butter mouthful delicious
33,seedless seasonal melon cut bite size piece
34,hunt's political aide adam smith resign wednesday responsible perception news corp close relationship hunt's office smith act hunt's authorization special adviser act independently
35,start tax season hundred thousand filer refund quickly manage avoid traditional bank questionable financial product tax prep industry
36,ninety percent time bat win accept janela application guinness midtown york office similar office london tokyo
37,run hope hold july sandusky perkins begin call kaylin schaefer website www jimhausersarcomafoundation
38,muck rake columnist jersey journal set agendum hudson county sport scene decade refer person
39,follow twitter marknaymik
40,haitian people deserve leader clinton statement current political crisis disrupt progress prosperous haiti
41,volunteer gather family
42,start ago honor father recognize wrestler season courage determination perseverance edmiston
43,chard easy quiche bacon brie idea chard check beat aisle column food network
44,time concentration atmosphere
45,notice movie contribute handful quote nary line recall mind favorite quotable movie
46,create environment butterfly garden teach people environment goldstein
47,bolton's rule obama administration prevail trial prove provision require police determine immigration status immigrant carry document provision sweep law unconstitutional attempt arizona regulate immigration
48,juice orange
49,earn cif accolade napier season smith freshman napier team selection smith earn team honor campaign sophomore pivotal bell jeff team capture cif southern section division division championship
50,symbol american decline pity discovery's retirement beautiful shuttle prove expensive risky operate die successor plan follow constellation rocket capsule program human orbit moon suddenly cancel control spaceflight gratuitously cede russia china
51,player osu career start include defensive ball
52,perez witness bully facebook talk don apparently kid terrorize
53,unite risk asset return intellectual capital china learn south korea innovate manufacture india build capability design research development initial american innovation
54,monday night partly cloudy low
55,recommend spicy greek feta appetizer salty
56,florence board choose freeholders burlington county
57,deputy coroner scene perform duty death investigation shepherd
58,colleague puzzle tuesday's radio dxhm broadcaster nestor sapidan libaton remote section highway mati city unlike journalist attack expose corruption drug trade handle sensitive topic call attention official
59,york secret city draw million visitor include day tripper close mile record museum shop impressive inspire hotel january mondrian soho http www mondriansoho sanctuary hotel st nolitan www nolitanhotel north italy hôtel americano http www hotel americano chelsea yotel york www yotel hotel york city time square york downtown http www wnewyorkdowntown financial district andaz wall street newyork wallstreet andaz hyatt brooklyn include boutique hotel williamsburg http www hwbrooklyn dent city's hefty lodge rate average roughly night surely hurt
60,kid notice learn fun
61,contract promoter public venue country quickly release public record request star ledger
62,larry swedroe director research buckingham asset management author book invest people focus idea income
63,civilian jordan graduate cleveland university earn master's degree taxation university akron certify public accountant tend conservative politic dress
64,brian cameron save shot tend net havre de grace fellow warrior goalie derek freels save
65,manager ned yost acknowledge luke hochevar jonathan sánchez danny duffy game straighten
66,petition include robert jarrett's account happen night jan time wife account follow
67,april
68,maricopa county sheriff joe arpaio defendant separate lawsuit file national coalition latino clergy christian leader border sheriff senate bill lawsuit sheriff defendant
69,drama title originally vodka chelsea tweak
70,game matthews live interview nbatv teammate heap praise matthews deflect attention
71,site hang people ease photography fun event explain add extra dimension picture family friend product activity
72,fall dow jones industrial average fall nasdaq rise
73,tall build cleveland time construct purpose house businessmen's club
74,special project bad phrase pork rep ben harbin evans house budget chairman bond don fault putting stuff community openness transparency lack
75,senate appropriation committee chairman daniel inouye hawaii initially propose billion cut obama's budget ante response gop protest propose billion additional additional cut pentagon budget
76,ticket ticket mesamuseum org mesa historical museum horne tour ticket include admission museum mitten house build mesa journal tribune publisher charles mitten historic irving school
77,blubaugh government violate plea agreement increase sentence information unsold ticket guilty plea blubaugh wife store call deadwood ticket lenexa storage unit
78,san francisco usa kid miserable
79,agreement set strict template structure union contract require hold benefit cost wipe cumbersome rule prevent efficiency
80,locate yard burlington city mainland bristol pa island close robbins bring close people live
81,age foul smell golf clubhouse hobbit's glen golf club harper's choice replace build crown feature million project expect begin
82,quarter adventure
83,bill's provision include authorize car dealer jack call document preparation charge current raise annually cost live increase
84,minnesota matter length prisoner's supervise release time criminal suppose adjust life prison watchful eye correction official set formula offender likelihood succeed offender spend sentence bar community
85,fiery debate touch explosive bill adams rick sullivan president district's special administrative board house senate education committee datum suggest child learn behave miss school district lose accreditation
86,goal
87,underground railroad pioneer harriet tubman organizer exception rule inductee live jersey booker tubman's award head harriet tubman home auburn
88,regard steve pokin columnist leave suburban journal shame hearted senior citizen people st charles county wonderful job miss steve god speed love
89,york citigroup boast international scope presence country bank
90,half dozen county art medical examiner's office referral basis
91,roman quest win derby hometown track philosophical miss
92,oakland police attorney harry stern shoot percent line police policy oakland civil attorney john burris family retain investigate shoot
93,pinkel mu decide rotate tailback season junior kendial lawrence camp pinkel mu play true freshman simply depth spot exception quarterback corbin berkstresser hunt sophomore james franklin berkstresser incidentally shape pound camp start
94,community sign revenue share precursor dead arrival
95,buy low sell
96,packer steelers
97,corvallis oregon disappear sunday sunshine noteworthy streak arizona
98,cartoonist ten boy learn pig latin emailer write craftily exchange letter words disguise statement print reject editor
99,call unnecessarily legitimate emergency call
100,darryl williams plead guilty sexual assault witness tamper
101,ryan money agency altogether auditor strike force fail owe attorney general's office entitle percent forfeit property
